gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Sub1	chr15_71625	0.007650346715502	0.446799856000319	0.174563347010956	chr15	11862088	11863045	+	119	flat
Pknox2	chr9_202481	0.00881664247794498	0.446913321960714	0.174564323955482	chr9	37555131	37555811	+	664	flat
Glra2	chrX_214795	0.130120069320241	0.446896252409813	0.174564323955482	chrX	165804570	165805001	+	676	flat
Slc38a11	chr2_114793	0.0374521686569562	0.447097551378033	0.174605011906576	chr2	64535956	64536473	+	780	circadian
Itpr2	chr6_178303	0.0129596397870059	0.447128481101163	0.174605011906576	chr6	145855616	145856480	+	252	flat
Tcf20	chr15_77858	0.0213634840142426	0.447206282172462	0.174605632519251	chr15	82353783	82354870	+	454	circadian
Gm9955	chr18_97463	0.0320628948461718	0.447241062067699	0.174605632519251	chr18	24838376	24839515	+	130	NA
Pld2	chr11_35062	0.025050698247008	0.447367417811377	0.174633293220383	chr11	70451528	70452634	+	88	circadian
Rdh13	chr7_178761	0.0249238648036772	0.447433692740506	0.174637496962625	chr7	4150801	4151681	+	274	ampfree.step
Abcg1	chr17_90553	0.0102770583039623	0.447584478732422	0.174674681017793	chr17	30457302	30457856	+	600	ampfree.step
Ears2	chr7_186474	0.0108190173456361	0.447731978738718	0.17471057361722	chr7	121706358	121706907	+	331	flat
Cast	chr13_57450	0.0182169222454001	0.448304449303699	0.174912265535713	chr13	75574361	75575040	+	882	flat
Rida	chr15_73399	0.0202978667124389	0.448600745213605	0.175006167384949	chr15	36024203	36025184	+	1541	NA
Lsm7	chr10_23923	0.00510419184364018	0.449344025249721	0.175252672497691	chr10	80413051	80413539	+	440	flat
Sec11c	chr18_101534	0.0150678685473251	0.449335337507019	0.175252672497691	chr18	65648079	65648757	+	152	flat
Vwa5b1	chr4_150178	0.019605321512803	0.449445200694067	0.175270405996987	chr4	138414559	138415239	+	150	NA
Ell	chr8_194134	0.00457388901386573	0.449799365860453	0.175367568462217	chr8	71281486	71282978	+	743	flat
Sp1	chr15_80070	0.0103055575091814	0.449805830056972	0.175367568462217	chr15	101271264	101271933	+	1135	flat
Pex11b	chr3_133164	0.0313638135619829	0.449887842269606	0.175370150998093	chr3	96727133	96728801	+	93	sleep
Rnf168	chr16_83448	0.00854260641647194	0.449923931768814	0.175370150998093	chr16	34078519	34079446	+	1802	flat
Hsf2	chr10_21443	0.0275903065583758	0.45008670455419	0.175411865235549	chr10	57812037	57813080	+	326	flat
Nmd3	chr3_130839	0.014678765827441	0.450183079567461	0.175420953247477	chr3	69115586	69116264	+	606	flat
Dyrk1a	chr16_88034	0.00800474422909566	0.450221533326562	0.175420953247477	chr16	95543364	95543945	+	974	circadian
Cnot11	chr1_2940	0.0146745560209373	0.450296585827185	0.175428471254789	chr1	39143082	39143910	+	391	flat
Gbp9	chr5_160302	0.448910209828315	0.450372142641319	0.175436183848808	chr5	104859729	104860414	+	218	flat
Zzz3	chr3_138415	0.00784844674432907	0.450681517821375	0.175469798132305	chr3	153631876	153632631	+	1237	flat
Tmem132c	chr5_162872	0.0155178131954572	0.450638157912373	0.175469798132305	chr5	125705244	125705943	+	1536	ampfree.step
Wdr70	chr15_71266	0.019431845918671	0.450652152070803	0.175469798132305	chr15	7021492	7022205	+	851	flat
Plp1	chrX_213886	0.0485480349314135	0.450535715767046	0.175469798132305	chrX	136992578	136993591	+	170	flat
Polr1d	chr5_165082	0.0165278625671089	0.450816326408168	0.175500567263599	chr5	146861579	146862227	+	215	flat
Deptor	chr15_74860	0.0252374807926418	0.450884608034594	0.175505433368888	chr15	55694397	55695695	+	583	ampfree.step
Tia1	chr6_171960	0.00602386467084592	0.451038554562084	0.175543638942192	chr6	84246778	84247495	+	2157	flat
Mmp15	chr8_196556	0.0193669523717259	0.4513113040651	0.17560634729618	chr8	95806920	95808368	+	455	circadian
Ighm	chr12_50802	0.12416058817852	0.451306632456779	0.17560634729618	chr12	113401381	113402213	+	17	flat
Ube4b	chr4_151205	0.00685245299185351	0.452294435233636	0.175967124121665	chr4	149578013	149578634	+	250	ampfree.step
Cfap45	chr1_14558	0.0211101267209701	0.452613736269755	0.176036208174262	chr1	172550037	172551204	+	30	flat
Kptn	chr7_179107	0.0104060546522958	0.452617954916094	0.176036208174262	chr7	16959500	16960124	+	840	circadian
Rps12-ps9	chr8_199027	0.0116911239332834	0.452639855998365	0.176036208174262	chr8	122523097	122524479	+	683	NA
Mcc	chr18_99412	0.0246385800377022	0.452839540215732	0.176092100743752	chr18	44315735	44316474	+	109	flat
Eef1b2	chr1_5052	0.00922197104177262	0.452962997428548	0.176096579563078	chr1	63199247	63200050	+	23	flat
Gm21994	chr2_122849	0.0114825595367741	0.452918796866562	0.176096579563078	chr2	150997467	150998158	+	743	flat
Slc25a11	chr11_35058	0.0248425773111344	0.453211094168075	0.176171262771221	chr11	70403555	70404148	+	240	sleep
Ubac1	chr2_110988	0.0107360989089912	0.45339433305765	0.176177191825211	chr2	25356013	25357077	+	642	circadian
Abcf3	chr16_82038	0.0169213643109033	0.453297318976977	0.176177191825211	chr16	21412459	21413133	+	864	flat
Rfx3	chr19_106100	0.00706326311437914	0.453382990218547	0.176177191825211	chr19	28087371	28088374	+	326	circadian
Sp3	chr2_115679	0.0205357108848839	0.453627997513352	0.176233609057204	chr2	72602018	72602798	+	334	flat
5730480H06Rik	chr5_156040	0.033646515364733	0.453651550109149	0.176233609057204	chr5	47981990	47982460	+	346	NA
Ptpa	chr2_111655	0.0167240719348236	0.453847821658465	0.176256320960793	chr2	30413552	30414122	+	2	NA
Mapre3	chr5_154519	0.00607267913318225	0.453934095922998	0.176256320960793	chr5	32610580	32611689	+	1796	flat
Paip1	chr13_61271	0.0251315378216387	0.453919000222785	0.176256320960793	chr13	117550095	117550580	+	1878	flat
Tfcp2	chr15_79883	0.0219415584380655	0.453832289149707	0.176256320960793	chr15	100096747	100097277	+	406	flat
Invs	chr4_142161	0.0119341990116089	0.454184558795121	0.176265384263462	chr4	48042602	48043753	+	237	flat
Tmem261	chr4_144366	0.0193277317730277	0.45433820137887	0.176265384263462	chr4	77280125	77280690	+	2003	ampfree.step
Oma1	chr4_146658	0.0107996973245212	0.454057098079196	0.176265384263462	chr4	104678032	104678745	+	1365	NA
Hsd17b11	chr5_160200	0.0115561503789311	0.454256965128851	0.176265384263462	chr5	103711883	103712334	+	278	flat
Dlg2	chr7_183920	0.0283613848549482	0.454349601387119	0.176265384263462	chr7	91284006	91285160	+	808	circadian
Snx19	chr9_201785	0.0239260781687814	0.454248633030557	0.176265384263462	chr9	30212492	30213333	+	214	circadian
Htr2a	chr14_67663	0.0160428088571369	0.454226300416612	0.176265384263462	chr14	74852904	74853614	+	212	flat
Prepl	chr17_94911	0.0269899792330655	0.454487332784029	0.176297079063085	chr17	84942536	84943462	+	120	flat
Zfp703	chr8_190770	0.0243694079907623	0.454543383586758	0.176297085792485	chr8	26976297	26977299	+	1	flat
1500011K16Rik	chr2_120506	0.00557113693638853	0.454751187595921	0.1763080051839	chr2	128309657	128310579	+	519	flat
Tmem123	chr9_200060	0.0118894992320353	0.454787682147223	0.1763080051839	chr9	8133584	8134937	+	370	circadian
E030030I06Rik	chr10_18816	0.0834651162697648	0.454795684544119	0.1763080051839	chr10	22297615	22299023	+	185	flat
Dnajc4	chr19_104337	0.0133353894974197	0.454654017810362	0.1763080051839	chr19	6909350	6910660	+	78	flat
Pram1	chr17_90808	0.0197721005529709	0.455034416388963	0.176378820738349	chr17	32550843	32551618	+	1087	flat
Fez2	chr17_94128	0.0236205828649404	0.455397294861777	0.176497734192541	chr17	75763191	75764052	+	2614	flat
Dgcr8	chr16_81748	0.00696974670878401	0.45546833395879	0.176503524480012	chr16	17833891	17834719	+	420	flat
Irf3	chr7_180632	0.00481257112653245	0.455587300360494	0.17652788388897	chr7	44839424	44840164	+	158	NA
Zic4	chr9_207678	0.0445325138794118	0.455704596420063	0.176551590165643	chr9	90700131	90700499	+	662	flat
Gabbr2	chr4_141953	0.0139576978383976	0.455788349941946	0.176562296969673	chr4	46634674	46636333	+	27	flat
Ddx59	chr1_11169	0.00725500427145128	0.456086637785872	0.176590877904843	chr1	137363363	137364259	+	949	flat
Atp13a2	chr4_150581	0.0115567364226548	0.455965866909773	0.176590877904843	chr4	141077907	141078695	+	91	flat
Cdkn2aipnl	chr11_33035	0.0128708197478671	0.456003711222079	0.176590877904843	chr11	52003968	52004587	+	37	flat
Ube2i	chr17_89534	0.00693585372749879	0.456065646091132	0.176590877904843	chr17	23802397	23803962	+	1459	flat
Slc22a23	chr13_53810	0.00901725556089939	0.457376195852864	0.177068387845802	chr13	35513082	35513577	+	1334	sleep
Nfe2l2	chr2_115881	0.0078354936171592	0.457637902635788	0.177147907422794	chr2	74883156	74884101	+	792	flat
Ankdd1b	chr13_59087	0.0119771011680862	0.457736906260274	0.177164434114669	chr13	96687242	96687752	+	271	flat
Elmod3	chr6_171161	0.0128630230045519	0.458042357745783	0.177239050747314	chr6	72513926	72514305	+	52	circadian
Arhgef10	chr8_189856	0.00972939739364634	0.458024739654393	0.177239050747314	chr8	14730084	14730649	+	181	flat
Tmc6	chr11_40172	0.00394764119706372	0.458106417422078	0.177242040269834	chr11	115400783	115401379	+	2365	circadian
Iqsec2	chrX_214237	0.018396590403419	0.458285809480238	0.177289645837186	chrX	150458537	150459776	+	1685	flat
Hectd3	chr4_147739	0.00676770875310137	0.458363229412671	0.177297796236016	chr4	118427563	118428899	+	1433	flat
Atp2b2	chr6_175096	0.0166532939610017	0.458777410202222	0.177436189848127	chr6	113678259	113678846	+	65	flat
Akap9	chr5_152213	0.0216793221812555	0.459112363728287	0.177543911366891	chr5	3458545	3459047	+	469	flat
Xrn2	chr2_122497	0.0218505066091854	0.45944403470598	0.177550641314956	chr2	146553221	146554241	+	459	flat
Mcts2	chr2_123165	0.00534129665373614	0.459508648129523	0.177550641314956	chr2	153609496	153610099	+	923	mix
Elavl2	chr4_145559	0.016266729614223	0.459196653405774	0.177550641314956	chr4	93334438	93336024	+	2084	flat
Rspo1	chr4_148381	0.020322539300059	0.459555654881574	0.177550641314956	chr4	125116187	125116869	+	130	flat
Rpl11	chr4_149830	0.0116247864666293	0.459426581280503	0.177550641314956	chr4	136239547	136240222	+	212	flat
Psmb10	chr8_197214	0.00794820074320212	0.459631927302753	0.177550641314956	chr8	105950889	105951746	+	16	flat
Phlpp2	chr8_197658	0.00676075903190244	0.45963765367038	0.177550641314956	chr8	110713103	110713458	+	845	ampfree.step
Fntb	chr12_47115	0.0103673031065475	0.459283552054466	0.177550641314956	chr12	77862675	77863187	+	1097	flat
Dcaf5	chr12_47347	0.00849563251473835	0.459340881948002	0.177550641314956	chr12	80379754	80380490	+	44	circadian
Mta3	chr17_94684	0.0353103111154629	0.460226705632568	0.177756358639448	chr17	83322553	83323385	+	383	flat
Usp54	chr14_62843	0.00806366033225477	0.460597649586887	0.177877794525999	chr14	21830619	21831984	+	1282	circadian
Prdx5	chr19_104440	0.0120127448170683	0.460707498725492	0.177898381006611	chr19	7381914	7383487	+	476	flat
Arrb2	chr11_35045	0.0256690631117665	0.460923935027771	0.177960115133616	chr11	70228771	70229209	+	204	circadian
Lypd6b	chr2_113535	0.0244084348511124	0.460982157076113	0.177960755980882	chr2	50044730	50045630	+	257	flat
Hras	chr7_188253	0.00794315521615678	0.461090795907832	0.177980857528547	chr7	140036014	140037212	+	1152	flat
Gm14822	chrX_213463	0.0936700138627531	0.461666240933089	0.178181119039779	chrX	104482404	104483815	+	263	NA
Gm14001	chr2_119662	0.00975246493661812	0.461906224809021	0.178230014657421	chr2	119747294	119748056	+	1653	NA
Ppfia3	chr7_180775	0.00527153092300264	0.461890774482937	0.178230014657421	chr7	45706899	45707064	+	368	flat
Vasn	chr16_80526	0.00814015905964052	0.462016471683807	0.178250693727235	chr16	5255531	5256531	+	616	flat
Drg1	chr11_28930	0.00979032865762865	0.462117726903773	0.178267899078846	chr11	3567924	3568389	+	381	flat
Tsen2	chr6_175372	0.0128399341117065	0.462199389208766	0.178277542917759	chr6	115043608	115044348	+	501	flat
Dstn	chr2_122275	0.0210818893193477	0.462360335003912	0.17828463230752	chr2	144464876	144466601	+	550	flat
Emp3	chr7_180572	0.00496508098879105	0.462387764544285	0.17828463230752	chr7	44382535	44382973	+	1535	flat
Ces5a	chr8_196165	0.0134094198006902	0.462358501993789	0.17828463230752	chr8	93011385	93011835	+	487	flat
Alg10b	chr15_78857	0.0128507895027138	0.46252714257517	0.178316520317273	chr15	91152356	91152984	+	928	flat
Fbxo9	chr9_206684	0.00583392772284853	0.462674360787382	0.178351422741439	chr9	77302311	77302850	+	779	flat
Zcchc3	chr2_123088	0.00511029446444622	0.462796161192493	0.178376519774175	chr2	153178977	153179521	+	767	flat
Npc2	chr12_48092	0.00433881072650836	0.462905088391972	0.178396649519116	chr12	86104117	86104761	+	1350	flat
Magoh	chr4_147111	0.0196364258952696	0.46329780277072	0.178513396337799	chr4	108782117	108783174	+	903	flat
Max	chr12_47023	0.00994972833220577	0.463378237623591	0.178513396337799	chr12	76992768	76993736	+	56	ampfree.step
Dcaf11	chr14_65521	0.00834153854159662	0.463365571158959	0.178513396337799	chr14	54592359	54592898	+	967	circadian
Ddr1	chr17_91112	0.0128579188235169	0.463549688837371	0.178557583480592	chr17	35822795	35823822	+	142	mix
Arfip2	chr7_185121	0.0201172523840028	0.463793650172426	0.178564484587779	chr7	105620891	105622257	+	13	flat
Fbxl20	chr11_38083	0.0146640114506783	0.463653634433322	0.178564484587779	chr11	98412242	98412905	+	330	flat
Rps24	chr14_63239	0.00876457581877651	0.463708105206723	0.178564484587779	chr14	25481177	25482104	+	995	flat
Mb21d2	chr16_82802	0.0139209341512573	0.463794621117268	0.178564484587779	chr16	29456545	29457511	+	631	flat
Gm44245	chr6_176922	0.0576965925633133	0.463872353326529	0.178572560326981	chr6	133104779	133106186	+	458	NA
Oaz1	chr10_23825	0.0052834533794198	0.464003070922603	0.178601028878953	chr10	79925311	79925629	+	901	flat
Ndufs5	chr4_148198	0.00982324297962915	0.464242439010362	0.178671306387431	chr4	123526539	123528064	+	185	flat
Islr	chr9_204695	0.0328537186377043	0.464513531545745	0.178753774884659	chr9	58066069	58067330	+	90	flat
Tmod1	chr4_141650	0.00643624247126609	0.464592734707272	0.178762389505888	chr4	43508409	43509251	+	2530	flat
Pde6d	chr1_6980	0.00915277689550187	0.465029623756917	0.17888820378317	chr1	85757738	85759050	+	785	circadian
Slc5a5	chr8_194005	0.00511777148694975	0.465033432479406	0.17888820378317	chr8	70351288	70351654	+	531	flat
Fer	chr17_92932	0.0129253299368428	0.465104691438683	0.178893743223661	chr17	64139257	64139832	+	244	circadian
Rsph9	chr17_91611	0.0140157511572652	0.465250757256341	0.178910672618713	chr17	46119343	46120333	+	2	flat
Kdm4b	chr17_92514	0.0129761031080285	0.465262434353892	0.178910672618713	chr17	56626491	56627903	+	301	flat
Gdap1l1	chr2_124215	0.00866350555953694	0.465520305701825	0.178966087428322	chr2	162922546	162923590	+	515	flat
Fat3	chr9_200536	0.0160457593876493	0.465513474407227	0.178966087428322	chr9	16107282	16107902	+	197	flat
Rps6kc1	chr1_16391	0.029472659779392	0.465962443488777	0.17911417837018	chr1	190868521	190869175	+	169	flat
Tmem230	chr2_120859	0.0062035784030573	0.466163921537704	0.179114636614935	chr2	131074296	131075192	+	1165	flat
Aftph	chr11_30266	0.00824418334720339	0.466042858457394	0.179114636614935	chr11	21224062	21225246	+	540	flat
Ube2e1	chr14_62401	0.0209897020802897	0.466167713935063	0.179114636614935	chr14	17859933	17860360	+	423	flat
Emd	chrX_212726	0.0201913897644926	0.466191351492492	0.179114636614935	chrX	74353039	74353766	+	99	mix
Mroh7	chr4_146974	0.0123749611392755	0.466358034838793	0.179134927622959	chr4	107433972	107435365	+	754	flat
Cacna1d	chr14_63757	0.0288252550385152	0.466318046663814	0.179134927622959	chr14	30124832	30126386	+	86	flat
Inpp5d	chr1_7242	0.0197954984033628	0.466451855078005	0.179149093890406	chr1	87798128	87798974	+	178	circadian
Ptprt	chr2_124172	0.00967850384533904	0.46707037267538	0.179342861646754	chr2	162568190	162568960	+	1047	flat
Nsmce4a	chr7_187194	0.0280637857830432	0.467057588118829	0.179342861646754	chr7	129169911	129170446	+	1362	flat
Pigu	chr2_123287	0.0130772216048453	0.467373065432155	0.1794371891765	chr2	154712071	154712880	+	566	flat
Lamb3	chr1_16964	0.0072384401440399	0.467543442905593	0.179480700462358	chr1	195130621	195131845	+	1924	flat
Ralgapa1	chr12_45332	0.0393838878383065	0.467849716759181	0.179576362705888	chr12	55302335	55303569	+	300	flat
Zfp972	chr2_125853	0.00510704531239365	0.468013776954911	0.179617421913516	chr2	179237828	179238917	+	1335	NA
Plcg1	chr2_123998	0.015958318258156	0.468178692465262	0.179640334593888	chr2	160728993	160729372	+	2	circadian
Khdrbs1	chr4_148992	0.0189114916435947	0.468198855775463	0.179640334593888	chr4	129877206	129877683	+	174	flat
Syf2	chr4_149736	0.0585030955617445	0.468587343086018	0.179640334593888	chr4	135317995	135318402	+	387	flat
Chchd3	chr6_167867	0.00618490171153644	0.468566831302415	0.179640334593888	chr6	33120451	33121056	+	330	circadian
Rrm1	chr7_185124	0.0203714395225736	0.468480577992775	0.179640334593888	chr7	105639916	105641245	+	3199	sleep
Mto1	chr9_206892	0.022534339139394	0.46836011105131	0.179640334593888	chr9	79520231	79520961	+	1072	flat
Gm10052	chr9_211056	0.00830767628888672	0.468370104698306	0.179640334593888	chr9	123020783	123021682	+	668	flat
Copz2	chr11_37646	0.00698232667672439	0.468469197844249	0.179640334593888	chr11	94990647	94991216	+	1859	circadian
Nudt13	chr14_62590	0.0201798936213701	0.468481383862027	0.179640334593888	chr14	20113738	20114496	+	181	flat
Pde8b	chr13_58917	0.0300879943338379	0.468862598759942	0.179723959327767	chr13	95158011	95158935	+	134	sleep
Tmem167b	chr3_134390	0.00946514084803193	0.46902193312802	0.179763134257475	chr3	107866960	107867566	+	689	flat
Fxyd7	chr7_179999	0.00433937918481179	0.469103279950813	0.179772412815655	chr7	30599781	30600548	+	442	flat
Mthfd2	chr6_171835	0.0242000187249011	0.469471659530458	0.179891674034267	chr6	83325629	83326655	+	20	flat
Fyco1	chr9_211132	0.00852694257434827	0.469689953172206	0.179953403433059	chr9	123828908	123829760	+	40	circadian
Csf1	chr3_134442	0.00976575345202991	0.469927118544139	0.180022347289223	chr3	108174576	108175361	+	434	flat
Abr	chr11_35481	0.00557934847356892	0.470203864305984	0.180106435192894	chr11	74870954	74871395	+	1546	flat
Msmo1	chr8_193435	0.0278020677814235	0.470311756966963	0.180125833168761	chr8	64686477	64687126	+	31	circadian
Plch2	chr4_152074	0.00604531562786754	0.470501302670372	0.180176495111826	chr4	155305382	155306116	+	323	flat
Tcf3	chr10_24053	0.00579677453144995	0.470589148465454	0.180188203911332	chr10	81176328	81177146	+	767	flat
Pth1r	chr9_209706	0.02293977822034	0.471283442814013	0.180432090265269	chr9	111182073	111182890	+	460	circadian
Lrp4	chr2_117032	0.0102642099699485	0.471423816563428	0.180441918891949	chr2	91196550	91197112	+	261	flat
S1pr5	chr9_200663	0.00828126248088087	0.471366718065524	0.180441918891949	chr9	20725987	20726635	+	517	flat
Sirt3	chr7_188227	0.00816087034871199	0.471641497015926	0.18050327910498	chr7	139850135	139850697	+	1013	flat
Ccdc71	chr9_209419	0.0114976776227692	0.47178288800091	0.180535430980843	chr9	108157458	108158187	+	303	flat
Arhgap4	chrX_212707	0.0211180463950053	0.47184086602226	0.180535659584939	chrX	74023133	74024430	+	132	sleep
Aldh4a1	chr4_150534	0.0119507349978051	0.472030630938954	0.180564572300096	chr4	140702482	140703198	+	1080	flat
Cdc23	chr18_98373	0.00681024203248001	0.472031210777827	0.180564572300096	chr18	35045302	35046799	+	415	flat
Wscd1	chr11_35236	0.0120398915158967	0.472338296942686	0.180638116815342	chr11	72135824	72136417	+	386	circadian
Gpalpp1	chr14_67922	0.0125931864226127	0.472302218985502	0.180638116815342	chr14	76818275	76819120	+	732	flat
Dock1	chr7_187761	0.0153359142490409	0.472611187615281	0.18072051266741	chr7	134906186	134906712	+	236	circadian
Arfrp1	chr2_126016	0.0050741541548534	0.472734853866092	0.180733811192331	chr2	180488055	180488883	+	869	flat
Clcn4	chr7_178850	0.0132458476762175	0.472760852454175	0.180733811192331	chr7	5125736	5126289	+	2156	circadian
Ubxn1	chr19_104541	0.0170366417914498	0.473204017432865	0.180881252386704	chr19	8997507	8998142	+	126	sleep
Rcan2	chr17_91448	0.0180945708863686	0.473736483578408	0.181062788798425	chr17	44455529	44456094	+	654	flat
Mettl14	chr3_135636	0.0360895063359477	0.473978335232307	0.181133221310624	chr3	123579800	123580429	+	212	flat
Hdac10	chr15_78681	0.0209351970941943	0.474129614571725	0.181169028250035	chr15	89149222	89149843	+	26	circadian
Tcp1	chr17_89055	0.0076644574895827	0.474418805628747	0.181235509399596	chr17	11861136	11861665	+	1054	flat
Tmem241	chr18_96331	0.0217521362488496	0.474379345810809	0.181235509399596	chr18	11939223	11939575	+	25	flat
Epb41	chr4_149190	0.0134683604559755	0.474703100088552	0.181322098596638	chr4	131383347	131384267	+	540	flat
Gpr137	chr19_104345	0.0144158866982614	0.475062674135881	0.181437417786577	chr19	6950594	6952493	+	13	flat
Eef1a2	chr2_125738	0.00491780007000402	0.475481828428085	0.181553425437096	chr2	178265221	178265874	+	2882	flat
Paxbp1	chr16_87569	0.00725198063712427	0.475455252510178	0.181553425437096	chr16	91814911	91815431	+	801	flat
Brd1	chr15_78393	0.0121261705575482	0.475609970861481	0.181569300030159	chr15	86213849	86214825	+	2473	flat
Adprh	chr16_83902	0.0128186459320682	0.475638821712658	0.181569300030159	chr16	37974344	37975364	+	471	flat
Plrg1	chr3_131726	0.0224633541817463	0.475778088142237	0.181586461415566	chr3	82636375	82637145	+	419	flat
Cd209c	chr8_188877	0.020101539683812	0.475799206877636	0.181586461415566	chr8	4275538	4276474	+	336	flat
Ccdc130	chr8_195161	0.0121973345900466	0.47595794892444	0.1816250133726	chr8	83602453	83602940	+	655	flat
Zfp36	chr7_179571	0.00468307053120176	0.476266577257668	0.181720745479772	chr7	27291463	27292371	+	1085	flat
Ice2	chr9_206013	0.0160855774568475	0.476659360772229	0.181848560104519	chr9	69480255	69480856	+	83	flat
Hip1r	chr5_162434	0.00545001117974637	0.476813170920991	0.181885184939853	chr5	123132180	123133014	+	841	circadian
Plekhb1	chr7_184663	0.0101125067165297	0.476939875419386	0.181911462425562	chr7	99664593	99665393	+	978	flat
Armcx2	chrX_213768	0.0640543382737482	0.477078994080561	0.181942467900358	chrX	134585138	134586318	+	218	flat
Atp6v0a1	chr11_38613	0.00711111846715007	0.477249235067387	0.181985333467526	chr11	102466022	102466577	+	1457	flat
Pex26	chr6_176104	0.0269633013870367	0.477377687129057	0.182012255566302	chr6	121130745	121131462	+	53	flat
Fam213b	chr4_152134	0.00683343524345825	0.477500514397728	0.182028958136592	chr4	155738249	155738731	+	843	flat
Zrsr1	chr11_30430	0.0160220146139463	0.477537204751175	0.182028958136592	chr11	22973472	22973966	+	1	flat
Rb1cc1	chr1_70	0.0285391518767969	0.47764535934278	0.182040487550976	chr1	4414063	4415222	+	1792	circadian
Zfp27	chr7_179838	0.00466102495766535	0.47774102790408	0.182040487550976	chr7	29313033	29313368	+	580	flat
Pex3	chr10_18100	0.0106614047608154	0.477686178003809	0.182040487550976	chr10	14216160	14216986	+	693	circadian
Zfp746	chr6_169452	0.00708549730621452	0.477874921610176	0.182069456666554	chr6	50318000	50318502	+	2256	flat
Gatad2b	chr3_132557	0.0193266002794534	0.478022091542931	0.182081429946483	chr3	89519528	89520442	+	773	flat
Mogs	chr6_171873	0.023001876728775	0.477979472997124	0.182081429946483	chr6	83502678	83503142	+	387	flat
Gm15501	chr7_184327	0.0134076568641447	0.478081180508917	0.182081893468858	chr7	96869275	96870240	+	3691	NA
Chil1	chr1_10703	0.00619779216800648	0.478338976960918	0.182126202861382	chr1	134275973	134276532	+	94	flat
Capn3	chr2_119790	0.0101586733151121	0.478371179406879	0.182126202861382	chr2	121101904	121102507	+	646	flat
Gdpgp1	chr7_183288	0.00598760618690933	0.478306849285934	0.182126202861382	chr7	80992623	80993754	+	760	flat
Timm17a	chr1_10862	0.00623125012678555	0.479255265593911	0.182399193958427	chr1	135410910	135411494	+	116	flat
Gm4631	chr2_125664	0.0109048733212607	0.479262134328174	0.182399193958427	chr2	174636568	174637264	+	685	flat
Mrs2	chr13_52988	0.017761888308751	0.47923837286267	0.182399193958427	chr13	25206736	25207487	+	220	ampfree.step
Thsd7a	chr6_166187	0.0582260515687824	0.479481778951864	0.182460716076714	chr6	12353534	12353978	+	42	flat
Ppp2r1a	chr17_89470	0.0652224412725784	0.479556144300732	0.182464029003571	chr17	21531844	21532867	+	587	flat
Mpeg1	chr19_104811	0.0482476765064346	0.47960647192491	0.182464029003571	chr19	12465949	12466675	+	6	circadian
Sphk2	chr7_180609	0.00546115873159731	0.479787342054146	0.182510771177421	chr7	44606186	44606964	+	1103	sleep
Pcdhga2	chr18_98657	0.0368705742836306	0.480022346241387	0.182578092118553	chr18	37823990	37824705	+	155	circadian
C8g	chr2_111105	0.0107977640559151	0.480882656874046	0.182841772281786	chr2	26300719	26301130	+	802	flat
Ube2e3	chr2_116274	0.0379943648798989	0.480889937597168	0.182841772281786	chr2	78540400	78540890	+	327	flat
Gm6055	chr14_65196	0.0183416282473841	0.48086957294616	0.182841772281786	chr14	48990590	48991391	+	912	flat
Erbb4	chr1_5478	0.0326673146837367	0.481257911108066	0.182849102077474	chr1	67167258	67167931	+	865	flat
Smarcd3	chr5_153711	0.00614028657877217	0.481222983645661	0.182849102077474	chr5	24029909	24031037	+	560	flat
9430041J12Rik	chr7_178727	0.0266944460591469	0.481114059467763	0.182849102077474	chr7	3460148	3460778	+	614	flat
Nbeal2	chr9_209654	0.0251106022973282	0.481088051951904	0.182849102077474	chr9	110711844	110712346	+	87	flat
Zfpm2	chr15_73914	0.0225002710477659	0.481093083743499	0.182849102077474	chr15	40366901	40367545	+	288	flat
Tsc22d3	chrX_213960	0.0320539910943295	0.48124799119826	0.182849102077474	chrX	139859206	139859914	+	680	mix
Fibcd1	chr2_111921	0.00981344327247139	0.481620401433819	0.182920559068696	chr2	32088242	32089047	+	275	flat
Vwa5b2	chr16_82027	0.0178040570826397	0.481553698217674	0.182920559068696	chr16	21358162	21358963	+	769	flat
Pold4	chr19_104154	0.00702636540998723	0.481617861466815	0.182920559068696	chr19	5459117	5459426	+	1227	ampfree.step
Ajap1	chr4_151861	0.00604862880492865	0.481767740876969	0.182939289658078	chr4	153752545	153753475	+	380	flat
Sparcl1	chr5_160106	0.0128958265421226	0.481844151856293	0.182939289658078	chr5	103022566	103023239	+	1056	flat
Atp1a3	chr7_179451	0.011385070862145	0.481843901523805	0.182939289658078	chr7	25105646	25106371	+	128	flat
Nin	chr12_46151	0.00844942922734078	0.482219781156683	0.183059812903704	chr12	69843540	69844292	+	168	flat
Hipk2	chr6_168539	0.0184844466069909	0.482317219779916	0.183074713330353	chr6	39318988	39319814	+	625	flat
Atxn7l2	chr3_134488	0.0095744955991823	0.482660675014516	0.183182980221934	chr3	108363677	108364513	+	162	flat
Lama4	chr10_19912	0.0199744979656565	0.483048800299732	0.183286065833268	chr10	37314727	37315687	+	1650	sleep
Cenpo	chr12_41282	0.0103310264461292	0.483036116450986	0.183286065833268	chr12	3816886	3817548	+	379	flat
Sept3	chr15_77879	0.0224582971088168	0.483111095868983	0.183287598861444	chr15	82901386	82901876	+	627	flat
Sall1	chr8_195872	0.0170649724388155	0.483310978521112	0.183341324412554	chr8	89507241	89507836	+	480	flat
